n	filename	id	svg_sha256	bytes
01	stim_01.svg	agent_branch_rewind	1b63e1428f6947595b2539ec3203e1736a49d81357fe6c3041bdcacc86224a00	1013
02	stim_02.svg	agent_confidence_low	b364207989d08f643e20463b3af3d1e32b983aa113ebfb33d10b7fd5fac7a014	1756
03	stim_03.svg	agent_schema_drift	27354cef8501fefba28f4521c0a43a52f6ce69d12d2b7d6dd0f57204d49d247a	2457
04	stim_04.svg	agent_perm_revoke	fa15710bf0680cecec6b57bcf410bc81174e21517d0c9d13925241fa24f34d43	3397
05	stim_05.svg	agent_consensus_pending	a8bf671423f31c49a0baa89cf972829bc628c93453a6931437e0397994d1f676	1911
06	stim_06.svg	agent_attention_drift	e4ef53c5fb725f4427f9ca48e523f1bd65f39026853e281839051222b887d795	1572
07	stim_07.svg	agent_plan_divergence	38d936bf8c673eb6fe08305df6dc978c45b6edca114c0567fd68eec96f011e67	1316
08	stim_08.svg	agent_irreversible_write	07832eded565a72059ce382cd30ba4e4813abcaa4908bc2dd8f39c6eb96ad14c	957
09	stim_09.svg	agent_state_handoff	a09f09fb2ec27a969a12018c3d5772edc56307e208c5127ceb9676aa4e7f6377	1258
10	stim_10.svg	agent_tool_latency	2afcdfaa5371b00d9d99a5c8c89cef6c25c353c403a9593273e77512178694ab	1664
11	stim_11.svg	agent_commit_race	3721720f1aeb4dde31bc7a1f6d2127b35b5aa2f166eac62234469db21cbc7d3f	1483
12	stim_12.svg	agent_memory_gc	ba6719359ea36abd909d1061763dd596a2eb4d30e8f582b50236b4abc394e6c4	12478
13	stim_13.svg	agent_goal_anchored	c61f9a7f8c4477a17c06d89bff2e248065ac63267c029ca37311a1ab503eaf8c	2159
14	stim_14.svg	agent_retry_backoff	42814dba32f55d29e188659052521875a1b7a810af666b9fe27a6c6dd1e8f116	1237
15	stim_15.svg	agent_stream_emit	6a20dc5312675abbe6ee537f28a9db363a5b7cfd0c0f50ef2fdf3f1d9a567c7b	3812
16	stim_16.svg	agent_context_pressure	c4fd4fb93b57debc1358fa29fc32cc701e7a16b0312c91c5d1bb5c5b1ef0fed1	15562
17	stim_17.svg	agent_human_gate	b8613ecc9d2878b7aa283043d42e93b2ed6c086d75bf086a3176ca14534668ba	1761
18	stim_18.svg	agent_io_await	6673fd0f2df23896b4d8b8a0bfa6d51f9035bd1eef35ac88a56ff4ee0afeb3f0	1798
19	stim_19.svg	agent_quota_clamp	464bb29542517a16c0c5f10744d3ca30872967a155ce57aca0a57455e19ede0f	2477
20	stim_20.svg	agent_verification_fail	34ed894328d5c0ce8b08fad6333a04037efaa0578a75a8af0de36f519bb7012b	2933
21	stim_21.svg	agent_lock_starve	b88dcc1a699087d2acb719367ec71f8c80fc3f9308cc2ae1767ced4073480546	4650
22	stim_22.svg	agent_context_fold	dcd2f993d2e00ec54480a8a5381d5d5a846cbcbbd40912febb5189d44e8deeaa	7388
23	stim_23.svg	agent_instruction_intrusion	f5da41dc7449dc8f5ad04050b2f7db5fb0b11e33f9a228a24c9b975557d22a33	1737
24	stim_24.svg	agent_side_effect_uncertain	a541fa12741a907300ef0556f887b300b02866c8b9c42589a34007c8a929154b	1255
25	stim_25.svg	agent_cache_stale	b6d42e5ae2a1b968313424fb32d421b4d449d3cabc74b998d39ff14cc0cebc18	3273
26	stim_26.svg	agent_dependency_invalidation	34b16ab0ca0457270ee82233f7da49d0c31c5b1d42463dbd74e79a5f5a893d92	4264
27	stim_27.svg	agent_fanout_barrier	ed874d654e88ec2d17e3d8dfc5e1126689b33a5cc722e3e4ae6b2107c1efcac7	2530
28	stim_28.svg	agent_decision_entropy	7de668d011b1fadaebcc715226fc54268acf3c1470552e96c3f63b80d108807c	2860
29	stim_29.svg	agent_grounding_loss	30bf07ba412a06cce1dfbe4ae7208313e8682f0ef2289f2fb529d4566b70f7ef	3929
30	stim_30.svg	agent_call_cycle	2bc19febf9386080978bd3589e9b31cf8e50c47c30f188edb2cde739dbec778d	1525
